🌌☘️📡央卫秒播🍅,#genre#
CCTV5-体育,http://1857416894.xionguamaqui.com:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://1857416894.xionguamaqui.com:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://1857416894.xionguamaqui.com:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://1857416894.xionguamaqui.com:9901/tsfile/live/0008_1.m3u8
CCTV9HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0009_1.m3u8
CCTV10HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0010_1.m3u8
CCTV11HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0011_1.m3u8
CCTV12HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0012_1.m3u8
CCTV13HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0013_1.m3u8
CCTV14HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0014_1.m3u8
CCTV15HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0015_1.m3u8
CCTV5+HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0016_1.m3u8
CETV1HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0017_1.m3u8

🌌☘️📡凤凰香港🍅,#genre#
翡翠台1,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
翡翠台2 backup,http://api.mg.itv888.cn:8080/hls/ac8b06eb0c8/index.m3u8
iNews 新闻台,http://api.mg.itv888.cn:8080/hls/e1bb5e8bc4f/index.m3u8
J 2,http://api.mg.itv888.cn:8080/hls/c18815664e8/index.m3u8
珍珠台,http://api.mg.itv888.cn:8080/hls/63e9ea6e5df/index.m3u8
凤凰卫视,http://api.mg.itv888.cn:8080/hls/2f80047f91e/index.m3u8
凤凰资讯,http://api.mg.itv888.cn:8080/hls/11ef1dc70d8/index.m3u8
凤凰香港,http://api.mg.itv888.cn:8080/hls/e9660dce9a6/index.m3u8
🌌☘️IPV6央视,#genre#
🌌☘️港台20250802,#genre#
🥮港台频道🍅,#genre#
翡翠台腾讯云,http://api.mg.itv888.cn:8080/hls/4bb8922027c/index.m3u8
翡翠台1,http://erp.giihgtidg.com:8080/live/jade01.m3u8
翡翠台2,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
台湾台,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB PLUS,https://o11.163189.xyz/stream/tvb/tvbp/
黄金华剧台,https://o11.163189.xyz/stream/tvb/hjh
无线新闻,http://erp.giihgtidg.com:8080/live/wxxw01.m3u8?hls_ctx=5l3k567n
无线翡翠,http://erp.giihgtidg.com:8080/live/jade01.m3u8?hls_ctx=a08bsf11
VIUTV,https://smt.1789.dpdns.org/smt3.2.1.php?id=viu1_twn
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
Plus综合频道,http://beishan008.asuscomm.com:8890/bysid/82.m3u8#https://vdm6-hw.nbgdsygs.com/live/h6-2.flv#https://vdm6-ali.wujiekeji1.com/live/h6-2.flv
🌌☘️📡广东本地🍅,#genre#
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
中山综合,http://v.zsbtv.com.cn/lsdream/qTl38me/1000/live.m3u8
湛江新闻综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8
湛江新闻综合,http://feng163.com:4022/udp/239.77.0.141:5146
湛江新闻综合,http://plex.cyruslee.top:8888/udp/239.77.0.141:5146
湛江公共频道,http://gbtv-hls-wjq.zjwtv.com/zjtv/ggpd.m3u8
阳江公共频道,https://live.yjtvw.com:8081/live/yjtv2.m3u8
广州综合频道,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州新闻频道,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州法治频道,http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493
广州影视频道,http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4
广州南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
【澳門】澳視澳門,http://php.jdshipin.com/TVOD/iptv.php?id=asam
【澳門】澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
【澳門】澳視衛星,http://php.jdshipin.com/TVOD/iptv.php?id=as
【澳門】澳視衛星,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
【澳門】澳視資訊,http://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
【澳門】澳視體育,http://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
【澳門】澳視綜藝,http://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
🍅☘️香港频道【PLTV】,#genre#
无线新闻频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
无线翡翠频4k【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct4
无线翡翠频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
无线翡翠频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
无线翡翠频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct
凤凰中文频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰资讯频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fhzx
凤凰香港频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
有线综合粤高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv2
有线综合国高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=hoytv
无线华丽国标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=huali
无线明珠粤高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
无线娱乐频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
无线星河频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbxh
TVBJ1美频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1美频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
无线星河频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线千禧频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
美亚电影频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=meiya
VIUTV粤频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
AstroRio频标【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=aod
澳门Mac频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=as
澳视澳门频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=asam
重温经典频高【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=cwjd
☘️🍅香港SMT【紅杏香港节点】,#genre#
无线新闻【SMT】,http://php.jdshipin.com:8880/smt.php?id=inews_twn
翡翠台【SMT】,http://php.jdshipin.com:8880/smt.php?id=jade_twn
华丽翡翠台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河【SMT】,http://php.jdshipin.com:8880/smt.php?id=Xinhe
明珠台【SMT】,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB Plus【SMT】,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB明珠【SMT】,http://php.jdshipin.com/smt.php?id=pearl_twn
无线华丽【SMT】,http://php.jdshipin.com/smt.php?id=Tvbjade
无线千禧【SMT】,http://php.jdshipin.com/smt.php?id=Tvbclassic
娛樂新聞台【SMT】,http://php.jdshipin.com/smt.php?id=Tvbentertainment
TVB娱乐新闻台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
ViuTV【SMT】,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTVSix【SMT】,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
RTHK31【SMT】,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32【SMT】,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
千禧经典台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
美亚电影台【SMT】,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道【SMT】,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典【SMT】,http://php.jdshipin.com:8880/smt.php?id=Celestial2
凤凰中文【SMT】,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯【SMT】,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港【SMT】,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
八度空间【SMT】,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD【SMT】,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC【SMT】,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺【SMT】,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ【SMT】,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台【SMT】,http://php.jdshipin.com:8880/smt.php?id=Huahee
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
美亞電影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_t
华丽翡翠台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
ViuTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
ViuTVSix,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
八度空间,http://php.jdshipin.com:8880/smt.php?id=TV8
Astro AOD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com:8880/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee
☘️🍅香港TVB【TVOD】,#genre#
无线新闻【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
無線新聞【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻台【TVOD】,https://live.tvfix.org/live/inews/index.m3u8
无线新闻【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
翡翠台【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct
翡翠台【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
翡翠台【TVOD】,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠台1【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠華麗台1【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=huali
翡翠華麗台2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
凤凰中文【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzxMore actions
凤凰资讯2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港2【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
TVB Plus【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
翡翠台北美版(TVB J1)【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=j1
CCTV1港澳版【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
广东珠江【TVOD】,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
TVB千禧经典【PLTV】,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB千禧经典【PLTV】,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVBJ1美【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVBJ1美【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbj1
翡翠台版TVBJ1【PLTV】,http://php.jdshipin.com/TVOD/iptv.php?id=j1
凤凰香港【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
无线千禧【PLTV】,http://php.jdshipin.com/PLTV/iptv.php?id=tvbc
☘️台湾节点4g新闻,#genre#
🍅☘️judy版YouTube, #genre#
🍅☘️陈湘儒YouTuBe ,#genre#
寰宇新聞,https://m.youtube.com/watch?v=6IquAgfvYmc
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
中天新聞,https://www.youtube.com/watch?v=vr3XyVCR4T0
三立新闻海外直播,https://m.youtube.com/watch?v=hGJkDZDchYI
三立新闻台湾直播,https://m.youtube.com/watch?v=MV9mI0GChwo
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
民視新聞,https://m.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,https://www.youtube.com/watch?v=HOUoeBkzZYk
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
東森新闻,https://m.youtube.com/watch?v=QNAETEbZbH0
東森財經,https://m.youtube.com/watch?v=1I2iq41Akmo
🍅YouTube新闻,#genre#
☘️新马澳門,#genre#
☘️ 4Gtv台灣頻道xn-elt51,#genre#
今日新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/nnews-zh/index.m3u8?proxy=true
今日天气4Gtv,http://xn--elt51t.azip.dpdns.org:5008/nnews-wf/index.m3u8?proxy=true
中天新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv009/index.m3u8?proxy=true
东森新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv152/index.m3u8?proxy=true
tvbs新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv072/index.m3u8?proxy=true
寰宇新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn14/index.m3u8?proxy=true
三立新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8?proxy=true
三立新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8?proxy=true
非凡新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8?proxy=true
闽镜新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv075/index.m3u8?proxy=true
民视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8?proxy=true
中视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv074/index.m3u8?proxy=true
华视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv052/index.m3u8?proxy=true
台视新闻4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8?proxy=true
民视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8?proxy=true
民视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv155/index.m3u8?proxy=true
中视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv040/index.m3u8?proxy=true
华视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv041/index.m3u8?proxy=true
台视闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv066/index.m3u8?proxy=true
寰宇闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv156/index.m3u8?proxy=true
tvbs闽南4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv073/index.m3u8?proxy=true
民视台湾4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv001/index.m3u8?proxy=true
民视第一4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv003/index.m3u8?proxy=true
民视旅游4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv07/index.m3u8?proxy=true
民视影剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv09/index.m3u8?proxy=true
民视综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv004/index.m3u8?proxy=true
中视菁采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv064/index.m3u8?proxy=true
中视经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv080/index.m3u8?proxy=true
台视财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8?proxy=true
公视戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv042/index.m3u8?proxy=true
闽南戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn22/index.m3u8?proxy=true
国际财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv104/index.m3u8?proxy=true
全球财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live060/index.m3u8?proxy=true
东森财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8?proxy=true
寰宇财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv158/index.m3u8?proxy=true
cnbc财经4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live130/index.m3u8?proxy=true
tvbs精采4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv067/index.m3u8?proxy=true
tvbs欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv068/index.m3u8?proxy=true
tvbs综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live087/index.m3u8?proxy=true
tvbs台剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live088/index.m3u8?proxy=true
八大精彩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv039/index.m3u8?proxy=true
三立综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8?proxy=true
爱达娱乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv054/index.m3u8?proxy=true
靖天映画4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv055/index.m3u8?proxy=true
靖天戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv058/index.m3u8?proxy=true
靖天电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv061/index.m3u8?proxy=true
靖天育乐4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv062/index.m3u8?proxy=true
靖天国际4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv063/index.m3u8?proxy=true
靖天资讯4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv065/index.m3u8?proxy=true
龙华卡通4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn01/index.m3u8?proxy=true
龙华日韩4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn11/index.m3u8?proxy=true
龙华偶像4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn12/index.m3u8?proxy=true
龙华电影4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn03/index.m3u8?proxy=true
龙华洋片4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn02/index.m3u8?proxy=true
龙华戏剧4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn18/index.m3u8?proxy=true
龙华经典4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn21/index.m3u8?proxy=true
国会4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv084/index.m3u8?proxy=true
国会4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv085/index.m3u8?proxy=true
好消息壹4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv16/index.m3u8?proxy=true
好消息贰4Gtv,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv17/index.m3u8?proxy=true
大爱壹高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live007/index.m3u8?proxy=true
大爱贰高4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live106/index.m3u8?proxy=true
人间卫视4Gtv,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live008/index.m3u8?proxy=true
