臺灣 Taiwan,#genre#
Astro MTV,https://Smart.pendy.dpdns.org/Smart.php?id=AstroMTV
Mecca Live HD,https://Smart.pendy.dpdns.org/Smart.php?id=quran_mido
Madinah HD,https://Smart.pendy.dpdns.org/Smart.php?id=sunnah_mido
Oasis,https://Smart.pendy.dpdns.org/Smart.php?id=Oasis
HBO HD,https://Smart.pendy.dpdns.org/Smart.php?id=Hbo
HBO Signature,https://Smart.pendy.dpdns.org/Smart.php?id=Hbosignature
HBO Hits,https://Smart.pendy.dpdns.org/Smart.php?id=Hbohits
NatGeo Wild HD,https://Smart.pendy.dpdns.org/Smart.php?id=Natgeowild
Cartoon Network,https://Smart.pendy.dpdns.org/Smart.php?id=Cn
Nickelodeon,https://Smart.pendy.dpdns.org/Smart.php?id=Nickelodeon
Nick Jr,https://Smart.pendy.dpdns.org/Smart.php?id=Nickjr
Citra,https://Smart.pendy.dpdns.org/Smart.php?id=Citra
Sensasi,https://Smart.pendy.dpdns.org/Smart.php?id=Sensasi
Aura,https://Smart.pendy.dpdns.org/Smart.php?id=Aura
Rania,https://Smart.pendy.dpdns.org/Smart.php?id=Rania
Boo,https://Smart.pendy.dpdns.org/Smart.php?id=Boo
Awesome TV,https://Smart.pendy.dpdns.org/Smart.php?id=Awesome_mega
Sony HD,https://Smart.pendy.dpdns.org/Smart.php?id=SetOne
KBS World,https://Smart.pendy.dpdns.org/Smart.php?id=KBS
TvN,https://Smart.pendy.dpdns.org/Smart.php?id=TVN
Astro Premier,https://Smart.pendy.dpdns.org/Smart.php?id=Astropremier
AEC,https://Smart.pendy.dpdns.org/Smart.php?id=AEC
華麗台 HD,https://Smart.pendy.dpdns.org/Smart.php?id=Wlt
歡喜台 HD,https://Smart.pendy.dpdns.org/Smart.php?id=Huahee
歡喜台(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Huahee_backup
Astro QJ,https://Smart.pendy.dpdns.org/Smart.php?id=Quanjia
TVB Jade,https://Smart.pendy.dpdns.org/Smart.php?id=Tvbjade
TVBS Asia,https://Smart.pendy.dpdns.org/Smart.php?id=Tvbasia
TVB Entertainment,https://Smart.pendy.dpdns.org/Smart.php?id=Tvbentertainment
TVB Classic,https://Smart.pendy.dpdns.org/Smart.php?id=Tvbclassic
AOD,https://Smart.pendy.dpdns.org/Smart.php?id=AodHD
One,https://Smart.pendy.dpdns.org/Smart.php?id=One_mega
TVB 星河台,https://Smart.pendy.dpdns.org/Smart.php?id=Xinhe
愛奇藝,https://Smart.pendy.dpdns.org/Smart.php?id=Qiyi
Animal Planet (Eng),https://Smart.pendy.dpdns.org/Smart.php?id=AnimalPlanet
tvN Movie,https://Smart.pendy.dpdns.org/Smart.php?id=Tvnmovie
CNN(備用),https://Smart.pendy.dpdns.org/Smart.php?id=cnn_twn
Celestial Classic,https://Smart.pendy.dpdns.org/Smart.php?id=Celestial2
CNBC,https://Smart.pendy.dpdns.org/Smart.php?id=cnbc_twn
RTM Sports HD,https://Smart.pendy.dpdns.org/Smart.php?id=Rtmsport
TLC,https://Smart.pendy.dpdns.org/Smart.php?id=Tlc
CNA,https://Smart.pendy.dpdns.org/Smart.php?id=cna
AFC 亞洲旅遊台,https://Smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
BBC World News,https://Smart.pendy.dpdns.org/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://Smart.pendy.dpdns.org/Smart.php?id=Foodnetwork_mega
HGTV,https://Smart.pendy.dpdns.org/Smart.php?id=HGTV
Arena,https://Smart.pendy.dpdns.org/Smart.php?id=Arena
Goshop,https://Smart.pendy.dpdns.org/Smart.php?id=Goshop
Celestial Movies HD,https://Smart.pendy.dpdns.org/Smart.php?id=Celestial_mega
Arena 2,https://Smart.pendy.dpdns.org/Smart.php?id=Arena2
Axn HD,https://Smart.pendy.dpdns.org/Smart.php?id=Axn
Paramount Network,https://Smart.pendy.dpdns.org/Smart.php?id=Paramountnetwork
BolaArena 1,https://Smart.pendy.dpdns.org/Smart.php?id=Bolaarena1
Astrol Kplus,https://Smart.pendy.dpdns.org/Smart.php?id=Kplus
Rock Actions,https://Smart.pendy.dpdns.org/Smart.php?id=Rockaction
Bloomberg News,https://Smart.pendy.dpdns.org/Smart.php?id=bloomberg_twn
Al-Jazeera,https://Smart.pendy.dpdns.org/Smart.php?id=aljazeera_twn
Rock Entertainment,https://Smart.pendy.dpdns.org/Smart.php?id=Rockentertain
Showcase,https://Smart.pendy.dpdns.org/Smart.php?id=Showcase_mega
BolaArena 2,https://Smart.pendy.dpdns.org/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,https://Smart.pendy.dpdns.org/Smart.php?id=Channel5HD
Channel 5(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Ch5_mega
Channel 8,https://Smart.pendy.dpdns.org/Smart.php?id=Channel8HD
Channel 8(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Ch8_mega
Suria,https://Smart.pendy.dpdns.org/Smart.php?id=Suria
Suria(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Suria_backup
Channel U,https://Smart.pendy.dpdns.org/Smart.php?id=ChannelU
Channel U(備用),https://Smart.pendy.dpdns.org/Smart.php?id=ChU_mega
Vasantham,https://Smart.pendy.dpdns.org/Smart.php?id=Vasantham
Vasantham(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Vasantham_mega
CNA,https://Smart.pendy.dpdns.org/Smart.php?id=cna
CNA(備用),https://Smart.pendy.dpdns.org/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,https://Smart.pendy.dpdns.org/Smart.php?id=TVRI
RCTI,https://Smart.pendy.dpdns.org/Smart.php?id=Rcti
Kompass TV,https://Smart.pendy.dpdns.org/Smart.php?id=Kompass
Berita Satu,https://Smart.pendy.dpdns.org/Smart.php?id=BeritaSatu_eko
Indosiar HD,https://Smart.pendy.dpdns.org/Smart.php?id=Indosiar
AnTV,https://Smart.pendy.dpdns.org/Smart.php?id=Antv
MNC TV,https://Smart.pendy.dpdns.org/Smart.php?id=Mnctv
Trans 7,https://Smart.pendy.dpdns.org/Smart.php?id=Trans7_eko
Transtv,https://Smart.pendy.dpdns.org/Smart.php?id=Transtv
JTV,https://Smart.pendy.dpdns.org/Smart.php?id=JTV_eko
Metro TV,https://Smart.pendy.dpdns.org/Smart.php?id=metrotv_eko
Cinemax,https://Smart.pendy.dpdns.org/Smart.php?id=Cinemax
SCTV,https://Smart.pendy.dpdns.org/Smart.php?id=SCTV
Tvone,https://Smart.pendy.dpdns.org/Smart.php?id=Tvone
TVMU,https://Smart.pendy.dpdns.org/Smart.php?id=TVMU_eko
GTV,https://Smart.pendy.dpdns.org/Smart.php?id=Gtv
RTV,https://Smart.pendy.dpdns.org/Smart.php?id=Rtv
Jak TV,https://Smart.pendy.dpdns.org/Smart.php?id=JakTV
iNews TV,https://Smart.pendy.dpdns.org/Smart.php?id=Inewstv
Daai TV,https://Smart.pendy.dpdns.org/Smart.php?id=DaaiTV
Net TV,https://Smart.pendy.dpdns.org/Smart.php?id=NetTV
Animax,https://Smart.pendy.dpdns.org/Smart.php?id=Animax
EWTN,https://Smart.pendy.dpdns.org/Smart.php?id=Ewtn
AlQuran AlKareem,https://Smart.pendy.dpdns.org/Smart.php?id=AlQuran
Tawaf TV,https://Smart.pendy.dpdns.org/Smart.php?id=TawafTV
Vision Prime,https://Smart.pendy.dpdns.org/Smart.php?id=VisionPrime
Muslim TV,https://Smart.pendy.dpdns.org/Smart.php?id=MuslimTV
Music TV,https://Smart.pendy.dpdns.org/Smart.php?id=MusicTV
Lifestyle&Fashion,https://Smart.pendy.dpdns.org/Smart.php?id=Lifestyle
Entertain,https://Smart.pendy.dpdns.org/Smart.php?id=Entertain
Hits,https://Smart.pendy.dpdns.org/Smart.php?id=Hits
Warner TV,https://Smart.pendy.dpdns.org/Smart.php?id=WarnerTV
SCM,https://Smart.pendy.dpdns.org/Smart.php?id=Weishimovie
Thrill,https://Smart.pendy.dpdns.org/Smart.php?id=Thrill
Fight Sports,https://Smart.pendy.dpdns.org/Smart.php?id=Fs
Beinsports 2 HD,https://Smart.pendy.dpdns.org/Smart.php?id=Bein2hd
Hits Movie,https://Smart.pendy.dpdns.org/Smart.php?id=Hitsmovie
One,https://Smart.pendy.dpdns.org/Smart.php?id=One_mega
tvN Movie,https://Smart.pendy.dpdns.org/Smart.php?id=Tvnmovie
Celestial Movies HD,https://Smart.pendy.dpdns.org/Smart.php?id=Celestialindo
Rock Actions,https://Smart.pendy.dpdns.org/Smart.php?id=Rockaction
Rock Entertainment,https://Smart.pendy.dpdns.org/Smart.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),https://Smart.pendy.dpdns.org/Smart.php?id=j2_hkdavid
J2,https://Smart.pendy.dpdns.org/Smart.php?id=j2_twn
RHK 31,https://Smart.pendy.dpdns.org/Smart.php?id=rhk31_twn
RHK 32,https://Smart.pendy.dpdns.org/Smart.php?id=rhk32_twn
TVB 星河,https://Smart.pendy.dpdns.org/Smart.php?id=tvbxinhe_twn
VIUTV1,https://Smart.pendy.dpdns.org/Smart.php?id=viu1_twn
Viu TV 69,https://Smart.pendy.dpdns.org/Smart.php?id=viutv69_hkdavid
Viu6,https://Smart.pendy.dpdns.org/Smart.php?id=viusix_twn
iNews 新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=inews_twn
無線財經資訊台,https://Smart.pendy.dpdns.org/Smart.php?id=tvbcaijing_twn
珍珠台(備用),https://Smart.pendy.dpdns.org/Smart.php?id=pearl_hkdavid
珍珠台,https://Smart.pendy.dpdns.org/Smart.php?id=pearl_twn
翡翠台(備用),https://Smart.pendy.dpdns.org/Smart.php?id=jade_mike
翡翠台,https://Smart.pendy.dpdns.org/Smart.php?id=jade_twn
鳳凰衛視,https://Smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
鳳凰資訊,https://Smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
鳳凰香港,https://Smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://Smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-2,https://Smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV-3,https://Smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV-4,https://Smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV-4,https://Smart.pendy.dpdns.org/Smart.php?id=Cctv4
CCTV-5,https://Smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5+,https://Smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV-6,https://Smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV-7,https://Smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV-8,https://Smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV-9,https://Smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV-10,https://Smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV-11,https://Smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV-12,https://Smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV-13,https://Smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV-14,https://Smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV-15,https://Smart.pendy.dpdns.org/Smart.php?id=cctv15
CCTV-16,https://Smart.pendy.dpdns.org/Smart.php?id=cctv16
CCTV-17,https://Smart.pendy.dpdns.org/Smart.php?id=cctv17
湖南衛視,https://Smart.pendy.dpdns.org/Smart.php?id=hunan_twn
江蘇衛視,https://Smart.pendy.dpdns.org/Smart.php?id=jiangsu_twn
深圳衛視,https://Smart.pendy.dpdns.org/Smart.php?id=shenzhen
大灣區衛視,https://Smart.pendy.dpdns.org/Smart.php?id=nanfang_twn
廣東衛視,https://Smart.pendy.dpdns.org/Smart.php?id=guangdongweishi_twn
北京衛視,https://Smart.pendy.dpdns.org/Smart.php?id=beijing
廣東珠江,https://Smart.pendy.dpdns.org/Smart.php?id=zhujiang
廣西衛視,https://Smart.pendy.dpdns.org/Smart.php?id=guangxi
湖北衛視,https://Smart.pendy.dpdns.org/Smart.php?id=hubei
四川衛視,https://Smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
鳳凰衛視,https://Smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
東方衛視,https://Smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
CGTN,https://Smart.pendy.dpdns.org/Smart.php?id=CGTN
鳳凰資訊,https://Smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://Smart.pendy.dpdns.org/Smart.php?id=Assp1
Supersports 1(備用),https://Smart.pendy.dpdns.org/Smart.php?id=go_assp1
Supersportq 1(備用2),https://Smart.pendy.dpdns.org/Smart.php?id=Assp1_mega
Supersports 2,https://Smart.pendy.dpdns.org/Smart.php?id=Assp2
Supersports 2(備用),https://Smart.pendy.dpdns.org/Smart.php?id=go_assp2
Supersports 3,https://Smart.pendy.dpdns.org/Smart.php?id=Assp3
Supersports 3(備用),https://Smart.pendy.dpdns.org/Smart.php?id=go_assp3
Supersports 3(備用2),https://Smart.pendy.dpdns.org/Smart.php?id=Assp3_mega
Supersports 4,https://Smart.pendy.dpdns.org/Smart.php?id=Assp4_mega
Supersports 4(備用),https://Smart.pendy.dpdns.org/Smart.php?id=go_assp4
Supersports 5,https://Smart.pendy.dpdns.org/Smart.php?id=go_assp5
Bein 2HD,https://Smart.pendy.dpdns.org/Smart.php?id=Beinhd
Beinsports HD,https://Smart.pendy.dpdns.org/Smart.php?id=Besports
Champion 5 EPL,https://Smart.pendy.dpdns.org/Smart.php?id=Champion5epl
WWE,https://Smart.pendy.dpdns.org/Smart.php?id=Wwe
Champion 6 EPL,https://Smart.pendy.dpdns.org/Smart.php?id=Champion6epl
Fight Sports,https://Smart.pendy.dpdns.org/Smart.php?id=Fs
UFC Network,https://Smart.pendy.dpdns.org/Smart.php?id=ufc_mega
NBA TV,https://Smart.pendy.dpdns.org/Smart.php?id=nbatv_twn
Astro Cricket,https://Smart.pendy.dpdns.org/Smart.php?id=Acricket_mega
Astro Golf,https://Smart.pendy.dpdns.org/Smart.php?id=Agolf
TNT Sports 1,https://Smart.pendy.dpdns.org/Smart.php?id=beeone
TNT Sports 2,https://Smart.pendy.dpdns.org/Smart.php?id=beetwo
TNT Sports 3,https://Smart.pendy.dpdns.org/Smart.php?id=beethree
TNT Sports 4,https://Smart.pendy.dpdns.org/Smart.php?id=beefour
Sony Ten 1,https://Smart.pendy.dpdns.org/Smart.php?id=ten1_raj
Sony Ten 2,https://Smart.pendy.dpdns.org/Smart.php?id=ten2_raj
Sony Ten 3,https://Smart.pendy.dpdns.org/Smart.php?id=ten3_raj
SPOTV 1 HD,https://Smart.pendy.dpdns.org/Smart.php?id=go_spotv
SPO TV 2,https://Smart.pendy.dpdns.org/Smart.php?id=go_spotv2
Beinsports 2 HD,https://Smart.pendy.dpdns.org/Smart.php?id=Bein2hd
Skysports Arena,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongarena
Skysports F1,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongf1
Skysports Cricket,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongcricket
Skysports EPL,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongepl
Skysports Football,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongfootball
Skysports Golf,https://Smart.pendy.dpdns.org/Smart.php?id=tiankonggolf
Skysports Main Event,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongmain
Skysports News,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongnews
Skysports NFL,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongnfl
Skysports Racing,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongracing
Skysports Mix,https://Smart.pendy.dpdns.org/Smart.php?id=tiankongmix
CCTV-5,https://Smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV-5+,https://Smart.pendy.dpdns.org/Smart.php?id=cctv5plus
愛爾達體育2台,https://Smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
愛爾達體育3台,https://Smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
RTM Sports HD,https://Smart.pendy.dpdns.org/Smart.php?id=Rtmsport
Arena,https://Smart.pendy.dpdns.org/Smart.php?id=Arena
Arena 2,https://Smart.pendy.dpdns.org/Smart.php?id=Arena2
BolaArena 1,https://Smart.pendy.dpdns.org/Smart.php?id=Bolaarena1
Bein 1 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein1_mega
Bein 2 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein2_mega
Bein 3 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein3_mega
Bein 4 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein4_mega
Bein 5 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein5_mega
Bein 6 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein6_mega
Bein 7 Sports,https://Smart.pendy.dpdns.org/Smart.php?id=bein7_mega
Rugby Pass TV,https://Smart.pendy.dpdns.org/Smart.php?id=Rugbypasstv
BolaArena 2,https://Smart.pendy.dpdns.org/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://Smart.pendy.dpdns.org/Smart.php?id=Suntv
Star Vijay,https://Smart.pendy.dpdns.org/Smart.php?id=Starvijay
Colors Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=Colorstam_mega
Sun Music,https://Smart.pendy.dpdns.org/Smart.php?id=Sunmusic
Astro Sunlife,https://Smart.pendy.dpdns.org/Smart.php?id=Sunlife
Astro Vaanavil,https://Smart.pendy.dpdns.org/Smart.php?id=Vaanavil
Zee Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=Zeetamil
Zee Business,https://Smart.pendy.dpdns.org/Smart.php?id=Zeebusiness
News 18 Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=news18tamil_raj
Adithya,https://Smart.pendy.dpdns.org/Smart.php?id=Adithya
Makkal TV,https://Smart.pendy.dpdns.org/Smart.php?id=Makkaltv
Zee Action,https://Smart.pendy.dpdns.org/Smart.php?id=Zeeaction
Astro KTV,https://Smart.pendy.dpdns.org/Smart.php?id=Astroktv
Zee TV HD,https://Smart.pendy.dpdns.org/Smart.php?id=Zeetvhd
Zee Cinema HD,https://Smart.pendy.dpdns.org/Smart.php?id=Zeecinemahd
Color HD,https://Smart.pendy.dpdns.org/Smart.php?id=Colorhd
Starplus HD,https://Smart.pendy.dpdns.org/Smart.php?id=Starplushd
Picture HD,https://Smart.pendy.dpdns.org/Smart.php?id=Npicture
Zee News,https://Smart.pendy.dpdns.org/Smart.php?id=Zeenews
Asianet,https://Smart.pendy.dpdns.org/Smart.php?id=asianet_raj
Asianet News,https://Smart.pendy.dpdns.org/Smart.php?id=asianetnews_raj
Times Now,https://Smart.pendy.dpdns.org/Smart.php?id=timesnow_mega
BBC Earth Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=bbcearthtam_raj
Discovery World Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=discoveryworldtam_raj
History Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=historytam_raj
NatGeo Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=natgeotamil_raj
Natgeo Wild Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=natgeowildtamil_raj
Discovery Kids Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=discoverykidtamil_raj
Discovery Tamil,https://Smart.pendy.dpdns.org/Smart.php?id=discoverytamil_raj
